,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
118,taoudenni,7,ML,1644202623,14,22.6783,-3.9836,64.72,10.18
119,yellowknife,20,CA,1644202624,88,62.456,-114.3525,-2.58,5.75
120,saskylakh,93,RU,1644202625,100,71.9167,114.0833,-27.18,4.09
121,vardo,59,NO,1644202625,82,70.3705,31.1107,23.14,20.94
122,shimanovsk,29,RU,1644202626,71,52.0,127.7,7.21,0.76
123,husavik,100,IS,1644202626,85,66.0449,-17.3389,24.71,14.5
124,krasnoarmeysk,83,RU,1644202627,97,51.0239,45.6969,12.4,6.78
125,avera,99,US,1644202544,54,33.194,-82.5271,41.72,6.71
126,crab hill,100,US,1644202628,79,37.2651,-76.4911,40.01,5.01
127,kodiak,100,US,1644202431,70,57.79,-152.4072,32.5,6.8
128,ibra,1,OM,1644202629,81,22.6906,58.5334,60.82,1.41
129,agaro,15,ET,1644202629,69,7.85,36.65,58.62,1.86
130,geraldton,40,AU,1644202362,33,-28.7667,114.6,77.41,14.97
131,ugoofaaru,66,MV,1644202630,71,5.6667,73.0,80.74,10.07
132,buala,97,SB,1644202631,71,-8.145,159.5921,86.63,12.3
133,torbay,75,CA,1644202546,75,47.6666,-52.7314,13.57,16.11
134,takoradi,100,GH,1644202333,86,4.8845,-1.7554,78.87,5.26
135,antalaha,41,MG,1644202632,84,-14.9003,50.2788,74.95,4.25
136,high level,3,US,1644202632,63,33.6123,-95.7472,43.18,2.01
137,gejiu,79,CN,1644202633,83,23.306,103.1635,45.64,4.76
138,mahibadhoo,64,MV,1644202633,66,3.7833,72.9667,81.01,10.27
139,santa maria,38,PH,1644202633,90,17.486,120.4348,83.01,1.88
140,vao,42,NC,1644202634,82,-22.6667,167.4833,80.89,11.63
141,donskoye,96,RU,1644202635,89,45.4552,41.9741,30.33,10.49
142,hambantota,75,LK,1644202635,88,6.1241,81.1185,77.34,4.61
143,zhigansk,93,RU,1644202636,99,66.7697,123.3711,-29.15,3.89
144,zhanaozen,100,KZ,1644202636,82,43.3,52.8,33.15,2.3
145,dudinka,39,RU,1644202637,100,69.4058,86.1778,-35.68,2.91
146,vila franca do campo,48,PT,1644202468,81,42.0304,-8.1588,39.33,5.37
147,krasnoselkup,34,RU,1644202608,100,65.7,82.4667,-24.0,6.26
148,atuona,12,PF,1644202349,77,-9.8,-139.0333,78.8,17.09
149,lenger,100,KZ,1644202638,98,42.183,69.8839,27.84,3.85
150,bluff,0,NZ,1644202638,66,-46.6,168.3333,60.8,13.38
151,riyadh,0,SA,1644202530,46,24.6877,46.7219,46.54,4.25
152,port-gentil,33,GA,1644202639,84,-0.7193,8.7815,79.66,10.49
153,price,4,US,1644202640,61,39.5994,-110.8107,33.12,6.02
154,sitka,100,US,1644202640,98,57.0531,-135.33,40.8,6.76
155,margate,5,GB,1644202641,70,51.3813,1.3862,41.88,8.99
156,esso,98,RU,1644202641,90,55.9333,158.7,17.69,3.89
157,narsaq,100,GL,1644202642,82,60.9167,-46.05,9.0,5.57
158,ostrovnoy,16,RU,1644202643,88,68.0531,39.5131,11.53,18.66
159,port hardy,100,CD,1644202643,89,-7.0349,29.7638,69.89,2.35
160,grand-lahou,44,CI,1644202644,87,5.1367,-5.0242,78.37,4.27
161,punta alta,99,PH,1644202598,63,8.9897,125.34,84.67,5.95
162,sorland,100,NO,1644202645,75,67.667,12.6934,38.19,16.82
163,sola,100,VU,1644202645,80,-13.8833,167.55,82.92,20.38
164,sochi,100,RU,1644202530,74,43.6,39.7303,35.69,9.08
165,lodja,100,CD,1644202646,96,-3.4833,23.4333,70.12,2.3
166,nikolskoye,100,RU,1644202647,97,59.7035,30.7861,36.88,6.98
167,chokurdakh,79,RU,1644202647,99,70.6333,147.9167,-39.73,3.85
168,padang,100,ID,1644202647,68,-0.9492,100.3543,84.25,1.23
169,choix,0,MX,1644202648,47,26.7092,-108.3219,60.93,1.88
170,kayes,0,ML,1644202648,10,14.0,-11.0,73.45,5.99
171,pemangkat,100,ID,1644202616,84,1.1667,108.9667,79.65,4.76
172,kibala,2,TD,1644202649,17,9.1104,18.3463,71.28,5.12
173,outjo,100,NA,1644202649,87,-20.1167,16.15,64.65,3.8
174,ambon,40,ID,1644202650,66,-3.6954,128.1814,87.94,4.61
175,barceloneta,51,PR,1644202651,99,18.4505,-66.5385,74.57,11.72
176,mount isa,3,GB,1644202651,83,53.6597,-1.8537,37.51,1.99
177,alice springs,100,US,1644202652,82,27.7523,-98.0697,58.57,7.78
178,praia,0,CV,1644202653,83,14.9215,-23.5087,68.54,12.66
179,kruisfontein,0,ZA,1644202653,65,-34.0033,24.7314,69.69,4.56
180,bathsheba,40,BB,1644202653,83,13.2167,-59.5167,77.61,14.97
181,bethel,28,US,1644202654,83,41.3712,-73.414,28.65,1.81
182,omboue,74,GA,1644202447,87,-1.5746,9.2618,77.04,5.46
183,san patricio,0,ML,1644202655,13,13.3034,-4.8956,70.2,8.03
