,City,Country,Lat,Lng,Hotel Name
115,tibu,CO,8.639,-72.7358,HOTEL LA ESTRELLA DEL CATATUMBO
116,kapaa,US,22.0752,-159.319,Hotel Coral Reef
117,chumikan,RU,54.7183,135.315,Fortuna
118,taoudenni,ML,22.6783,-3.9836,
119,yellowknife,CA,62.456,-114.3525,The Explorer Hotel
120,saskylakh,RU,71.9167,114.0833,
121,vardo,NO,70.3705,31.1107,Vardø Hotel AS
122,shimanovsk,RU,52.0,127.7,Tayezhnaya
123,husavik,IS,66.0449,-17.3389,Húsavík Cape Hotel
124,krasnoarmeysk,RU,51.0239,45.6969,"Hotel ""Your home-Balzer"""
125,avera,US,33.194,-82.5271,
126,crab hill,US,37.2651,-76.4911,Yorktown Beach Hotel
127,kodiak,US,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
128,ibra,OM,22.6906,58.5334,Golden Rays hotel
129,agaro,ET,7.85,36.65,
130,geraldton,AU,-28.7667,114.6,The Geraldton Hotel
131,ugoofaaru,MV,5.6667,73.0,Ungoofaaru Inn
132,buala,SB,-8.145,159.5921,Ghaseali Island Resort
133,torbay,CA,47.6666,-52.7314,
134,takoradi,GH,4.8845,-1.7554,Best Western Plus Atlantic Hotel.
135,antalaha,MG,-14.9003,50.2788,Belle rose beach Hotel
136,high level,US,33.6123,-95.7472,
137,gejiu,CN,23.306,103.1635,
138,mahibadhoo,MV,3.7833,72.9667,Noovilu Suites - The luxury guest house in Maldives
139,santa maria,PH,17.486,120.4348,
140,vao,NC,-22.6667,167.4833,OURE TERA beach resort
141,donskoye,RU,45.4552,41.9741,
142,hambantota,LK,6.1241,81.1185,The Peacock Beach Hotel Hambantota
143,zhigansk,RU,66.7697,123.3711,
144,zhanaozen,KZ,43.3,52.8,Hotel BasTau
145,dudinka,RU,69.4058,86.1778,Yenisei lights
146,vila franca do campo,PT,42.0304,-8.1588,Hotel Castrum Villae
147,krasnoselkup,RU,65.7,82.4667,Krasnosel'kupnefteprodukt
148,atuona,PF,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
149,lenger,KZ,42.183,69.8839,Gostevoy Dom 1
150,bluff,NZ,-46.6,168.3333,Foveaux Hotel
151,riyadh,SA,24.6877,46.7219,Executives Olaya Hotel
152,port-gentil,GA,-0.7193,8.7815,Hotel Mandji
153,price,US,39.5994,-110.8107,Super 8 by Wyndham Price
154,sitka,US,57.0531,-135.33,Sitka Hotel
155,margate,GB,51.3813,1.3862,Royal Albion Hotel
156,esso,RU,55.9333,158.7,Paramushir Tur
157,narsaq,GL,60.9167,-46.05,Narsaq Kayak Hostel
158,ostrovnoy,RU,68.0531,39.5131,
159,port hardy,CD,-7.0349,29.7638,Hotel Keyanike
160,grand-lahou,CI,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
161,punta alta,PH,8.9897,125.34,
162,sorland,NO,67.667,12.6934,Bensvik Brygge
163,sola,VU,-13.8833,167.55,
164,sochi,RU,43.6,39.7303,Hotel Green House
165,lodja,CD,-3.4833,23.4333,
166,nikolskoye,RU,59.7035,30.7861,
167,chokurdakh,RU,70.6333,147.9167,
168,padang,ID,-0.9492,100.3543,Hotel Grand Zuri Padang
169,choix,MX,26.7092,-108.3219,Hotel Villa de Santiago
170,kayes,ML,14.0,-11.0,
171,pemangkat,ID,1.1667,108.9667,GRAND HOTEL PEMANGKAT
172,kibala,TD,9.1104,18.3463,Prasant Hotels
173,outjo,,-20.1167,16.15,Etotongwe Lodge
174,ambon,ID,-3.6954,128.1814,The City Hotel
175,barceloneta,PR,18.4505,-66.5385,Manati World Point Inn
176,mount isa,GB,53.6597,-1.8537,Cambridge Hotel
177,alice springs,US,27.7523,-98.0697,La Quinta Inn & Suites by Wyndham Alice
178,praia,CV,14.9215,-23.5087,Hotel Oasis Atlantico Praiamar
179,kruisfontein,ZA,-34.0033,24.7314,Humansdorp Boutique Hotel
180,bathsheba,BB,13.2167,-59.5167,Atlantis Hotel
181,bethel,US,41.3712,-73.414,La Quinta Inn & Suites by Wyndham Danbury
182,omboue,GA,-1.5746,9.2618,Hôtel Georges Faustin Aurat
183,san patricio,ML,13.3034,-4.8956,Hôtel Teriya
184,palu,ID,-0.8917,119.8707,Rama Garden Hotel
185,billings,US,45.7833,-108.5007,Ledgestone Hotel Billings
186,gizo,SB,-8.103,156.8419,Gizo Hotel
187,cayenne,GF,4.9333,-52.3333,Hotel Amazonia Cayenne
188,helong,CN,42.5397,128.9972,Helong Hotel
189,tarragona,ES,41.129,1.249,Hotel SB Ciutat de Tarragona
190,haftoni,AZ,38.7632,48.7622,Lankaran Springs Wellness Resort
191,tanete,ID,-3.9443,119.7848,Hotel Grand Zidny
192,san cristobal,ML,13.3034,-4.8956,Hôtel Teriya
193,brae,GB,60.3964,-1.353,Brae Hotel
194,klyuchevskiy,RU,53.5317,119.4519,
195,ormara,PK,25.2088,64.6357,Alqadri hotel zero point ormara
196,jiangyou,CN,31.7667,104.7167,Hongqiao Commercial Hotel
197,guerrero negro,MX,17.6667,-100.0,
198,nizhniy odes,RU,45.3926,39.2364,
199,pestovo,RU,58.5938,35.8024,Отель Вокруг света
200,athens,GR,37.9795,23.7162,Herodion Hotel
201,sao filipe,IN,20.5113,76.2129,Hotel Rama Grand
202,cherskiy,RU,68.75,161.3,
203,coihaique,CL,-45.5752,-72.0662,Nomades Hotel Boutique
204,acarau,BR,-2.8856,-40.12,Castelo Encantado
205,ingham,US,42.6,-84.3833,
206,tasiilaq,GL,65.6145,-37.6368,Hotel Angmagssalik
207,antofagasta,CL,-23.65,-70.4,Hotel Terrado Suites Antofagasta
208,saint-pierre,RE,-21.3393,55.4781,Hôtel Le Saint-Pierre
209,ouadda,CF,8.0777,22.4007,
210,madre de deus,BR,-28.5337,-48.9112,
211,kimbe,PG,-5.5502,150.1429,Liamo Reef Resort - Kimbe International Hotel
212,kyabe,TD,9.4515,18.9449,
213,svetlogorsk,BY,52.6333,29.7333,Hotel Svetlogorsk JBIK
214,namibe,AO,-15.1961,12.1522,iu Hotel Namibe
215,sol-iletsk,RU,51.1631,54.9918,Infinity Hotel
216,chapais,CA,49.7834,-74.8492,Hôtel Opémiska
217,mastic beach,US,40.802,-72.8409,
218,adamas,GR,36.7333,24.4333,Hotel Adamas
219,rocha,UY,-34.4833,-54.3333,Lo de Luna
220,souillac,MU,-20.5167,57.5167,Baladam Pride Luxury Residence
221,lima,PE,-12.0432,-77.0282,Sheraton Lima Hotel & Convention Center
222,natal,BR,-5.795,-35.2094,Natal Praia Hotel
223,lerwick,GB,60.1545,-1.1494,The Grand Hotel
224,korla,CN,41.7597,86.1469,The Garden Hotel Korla
225,huarmey,PE,-10.0681,-78.1522,Hotel Miramar
226,pokosnoye,RU,55.5258,101.0536,
227,pareora,NZ,-44.4871,171.2132,CABIN 29
228,kvitok,RU,56.0724,98.4813,
229,biak,ID,-0.9131,122.8766,
230,yakovlevka,RU,44.425,133.4772,
231,egvekinot,RU,66.3167,-179.1667,
232,talnakh,RU,69.4865,88.3972,Talnakh Hotel
233,sampit,ID,-2.5333,112.95,Aquarius Boutique Hotel Sampit
234,adrar,MR,20.5022,-10.0711,
235,tshikapa,CD,-6.4167,20.8,Hôtel mamuding
236,tiarei,PF,-17.5333,-149.3333,Le Rocher de Tahiti
237,jackson,US,42.4165,-122.8345,Super 8 by Wyndham Central Pt Medford
238,port lincoln,CD,-7.0349,29.7638,Hotel Keyanike
239,pisco,PE,-13.7,-76.2167,Hotel San Jorge Residencial
240,luderitz,,-26.6481,15.1594,LÜDERITZ NEST HOTEL
241,dumas,US,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
242,palmas de monte alto,BR,-10.2128,-48.3603,Hotel Girassol Plaza
243,ngunguru,NZ,-35.6167,174.5,Quality Hotel Oceans Tutukaka
244,mahebourg,MU,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
245,arshan,RU,46.2732,44.22,Elista
246,iqaluit,CA,63.7506,-68.5145,Frobisher Inn
247,thompson,CA,55.7435,-97.8558,Best Western Thompson Hotel & Suites
248,vawkavysk,BY,53.1561,24.4513,Hotel
249,ilulissat,GL,69.2167,-51.1,Hotel Arctic
250,fuerte olimpo,PH,17.5381,120.3644,Hotel Luna
251,umtata,ZA,-31.5889,28.7844,Mayfair Hotel
252,vanimo,PG,-2.6741,141.3028,Sandaun Surf Hotel
253,upington,ZA,-28.4478,21.2561,Desert Palace Hotel & Casino Resort
254,poya,NC,-21.35,165.15,
255,soe,ID,-9.8607,124.284,Dena Hotel
256,lingyuan,CN,41.24,119.4011,Chengyue International Hotel
257,abu dhabi,IN,24.6,72.7,Hotel Hilltone
258,paamiut,GL,61.994,-49.6678,Hotel Ivaana
259,bengkulu,ID,-3.8004,102.2655,Grage Hotel Bengkulu
260,kollam,IN,8.8833,76.6,The Raviz Ashtamudi
261,mafra,BR,-26.1114,-49.8053,Susin Hotel
262,pangnirtung,CA,66.1451,-65.7125,Auyuittuq Lodge (Inns North)
263,zhezkazgan,KZ,47.8043,67.7144,Cosmos
264,santa ana,PH,17.486,120.4348,
265,nanortalik,GL,60.1432,-45.2371,Hotel Kap Farvel
266,west monroe,US,31.8024,-97.0917,Holiday Inn Express & Suites N Waco Area - West
267,panaba,MX,21.2833,-88.2667,Hotel Amor
268,ryotsu,JP,38.0833,138.4333,Hotel Shiiya
269,sterling,US,39.0062,-77.4286,Hampton Inn & Suites Herndon-Reston
270,arman,RU,59.7,150.1667,
271,pauini,BR,-7.7136,-66.9764,Hotel Coqueiros
272,suket,IN,24.65,76.0333,
273,rundu,,-17.9333,19.7667,"Urban Farm Haus, Rundu, Namibia"
274,garden city,DE,53.688,12.0492,
275,muana,BR,-1.5283,-49.2167,HOTEL LE HIR
276,college,US,64.8569,-147.8028,La Quinta Inn & Suites by Wyndham Fairbanks Airport
277,khatanga,RU,71.9667,102.5,"Gostinitsa ""Khatanga"""
278,stelle,DE,53.3842,10.1114,Hotel Maack
279,portland,US,45.5234,-122.6762,Hotel Lucia
280,qasigiannguit,GL,68.8193,-51.1922,Hotel Diskobay
281,richards bay,US,46.8361,-95.9123,Fairfield Inn & Suites by Marriott Detroit Lakes
282,kalianget,ID,-7.05,113.9333,
283,saurimo,AO,-9.6608,20.3916,Hotel Kawissa Saurimo
284,sisimiut,GL,66.9395,-53.6735,Sømandshjemmet
285,megion,RU,61.0296,76.1136,Gostinyy Dvor
286,bella vista,IT,40.7609,15.5406,Hotel delle Colline
287,hofn,IS,64.2539,-15.2082,Hótel Höfn
288,encheng,CN,22.1839,112.3026,Yucca Hotel
289,jumla,NP,29.2747,82.1838,New Manasarowor Hotel
290,tura,IN,25.5198,90.2201,Hotel Polo Orchid
291,manaure,CO,11.7751,-72.4445,Hotel Palaaima
292,hadsten,DK,56.3282,10.0493,
293,dosso,NE,13.049,3.1937,Hotel Toubal
294,ayan,RU,56.45,138.1667,
295,xapuri,BR,-10.6517,-68.5044,Pousada Ayshawa
296,penzance,GB,50.1186,-5.5371,Queens Hotel
297,menongue,AO,-14.6585,17.691,Ritz Lauca
298,castle rock,GB,52.1376,-0.4548,"Holiday Inn Express Bedford, an IHG Hotel"
299,nelson bay,NZ,-41.2833,173.2833,Wakatu Hotel
300,beringovskiy,RU,63.05,179.3167,
301,heinola,FI,61.2056,26.0381,hotel Kumpeli
302,rosarno,IT,38.4841,15.979,Hotel Vittoria
303,kuminskiy,RU,58.6667,66.5667,
304,touros,BR,-5.1989,-35.4608,Hotel Vila Gale Touros
305,sorong,ID,-0.8833,131.25,Vega Hotel Sorong
306,tazmalt,DZ,36.3868,4.3989,Hotel Rabah Syphax
307,port moresby,CD,-7.0349,29.7638,Hotel Keyanike
